make,model,year,mileage,condition,price
Toyota,Corolla,2005,16303,1,20474.85
BMW,X5,2020,166633,2,17267.35
Hyundai,F-150,2005,76719,5,1985.05
Nissan,Corolla,2011,104616,3,1000.0
Ford,F-150,2012,129165,3,1861.75
Ford,X5,2012,91231,2,5149.45
Mercedes,Sorento,2014,12314,1,31774.3
Mercedes,Impala,2020,24623,5,8110.85
Nissan,F-150,2015,110228,1,1000.0
Ford,A4,2021,169202,4,11047.9
Chevrolet,Altima,2020,187828,4,14113.6
BMW,C-Class,2010,102624,2,2574.8
Ford,A4,2004,162364,2,1000.0
Honda,X5,2003,116785,2,8759.75
Nissan,Altima,2002,91206,4,9995.7
Chevrolet,A4,2018,74274,1,1000.0
BMW,Elantra,2019,138541,1,1000.0
Ford,Impala,2017,58947,2,15213.65
Hyundai,Altima,2014,158606,5,33272.7
Kia,Elantra,2008,199692,1,18376.4
Honda,A4,2016,53874,4,2161.3
Hyundai,Corolla,2013,54708,3,2347.6
Mercedes,Civic,2014,79553,3,30864.35
Mercedes,Corolla,2000,73344,3,6288.8
Ford,Impala,2020,54138,5,14117.1
Mercedes,Altima,2021,190374,2,1000.0
Honda,Altima,2021,52638,4,26732.1
BMW,Impala,2002,83249,5,15309.55
Audi,Elantra,2015,110865,4,20110.75
Toyota,Civic,2022,7719,4,17347.05
Nissan,A4,2010,158962,2,1000.0
BMW,X5,2011,172581,3,15690.95
Audi,Corolla,2009,47534,2,10431.3
Chevrolet,Corolla,2015,97241,5,26291.95
Honda,C-Class,2007,154859,5,24030.05
Hyundai,Civic,2005,131209,5,17186.55
Audi,X5,2011,184917,2,1000.0
Honda,Corolla,2020,194004,4,34637.8
Kia,X5,2007,97124,4,32299.8
Hyundai,A4,2003,96659,1,1000.0
Mercedes,Altima,2007,169134,5,8903.3
Mercedes,X5,2017,80713,4,14099.35
Hyundai,Corolla,2004,196533,1,3024.35
Chevrolet,Elantra,2008,80418,4,21978.1
Chevrolet,Civic,2003,133232,5,11892.4
Chevrolet,Impala,2021,170904,3,11058.8
Audi,F-150,2016,168038,5,10021.1
Nissan,Sorento,2008,149059,2,1000.0
Audi,Sorento,2000,173383,4,27113.85
Ford,F-150,2020,36575,4,32673.25
Toyota,X5,2019,68852,2,8119.4
Hyundai,Civic,2012,137079,2,1000.0
BMW,X5,2015,81242,3,19609.9
Toyota,Impala,2012,183589,4,1000.0
Kia,Civic,2013,34257,4,6580.15
Audi,F-150,2002,178279,3,16027.05
Audi,X5,2005,149353,1,1000.0
Honda,C-Class,2017,66246,3,39304.7
Toyota,Corolla,2018,6435,5,30350.25
Honda,Elantra,2004,96357,4,8814.15
BMW,Altima,2014,162732,2,4562.4
Honda,Elantra,2001,141156,5,23551.2
Toyota,Impala,2009,149579,4,31486.05
Hyundai,X5,2017,88807,3,1575.65
Kia,A4,2012,181611,5,30198.45
Audi,Civic,2004,120953,4,24713.35
BMW,X5,2022,143563,1,21202.85
Audi,Civic,2000,186264,1,1000.0
Ford,Altima,2021,128797,2,16032.15
Kia,C-Class,2000,68888,4,29401.6
Nissan,Elantra,2017,78609,1,24995.55
Honda,Corolla,2014,14077,3,30628.15
Mercedes,Altima,2016,25953,4,34223.35
Toyota,Altima,2010,119682,3,12602.9
Audi,Elantra,2020,72889,3,8683.55
Honda,Altima,2021,159893,1,19133.35
BMW,A4,2016,173639,4,1000.0
Audi,A4,2012,120374,5,13124.3
Nissan,Sorento,2000,29860,1,1000.0
Kia,Sorento,2001,157267,1,4989.65
Kia,A4,2008,82475,4,36240.25
Audi,F-150,2002,92266,4,8193.7
BMW,C-Class,2000,157499,3,18607.05
Kia,Civic,2020,105732,4,15824.4
Kia,C-Class,2015,32083,3,39186.85
Nissan,Impala,2022,62372,1,5331.4
Toyota,Altima,2005,128786,2,1000.0
BMW,Corolla,2016,180136,5,35604.2
BMW,Altima,2004,12813,1,1000.0
Hyundai,C-Class,2004,36598,4,1000.0
Hyundai,A4,2005,98106,5,1000.0
Kia,Elantra,2002,32082,2,19140.9
Mercedes,Impala,2020,34241,2,40511.95
Hyundai,A4,2022,180641,3,1000.0
Kia,C-Class,2004,16745,5,24778.75
Chevrolet,Elantra,2020,31029,3,13441.55
Ford,Corolla,2004,149097,1,8083.15
Ford,C-Class,2009,128395,5,12027.25
BMW,Civic,2009,150360,1,12913.0
Mercedes,X5,2018,94186,3,11698.7
Nissan,Elantra,2016,142612,5,23705.4
Toyota,C-Class,2020,102768,3,35353.6
Hyundai,A4,2013,46846,5,1682.7
Chevrolet,Civic,2008,80932,3,9546.4
Kia,F-150,2013,153554,2,1000.0
Mercedes,Elantra,2000,28411,3,21566.45
BMW,Civic,2018,187047,2,8110.65
Hyundai,A4,2012,196617,3,6605.15
Mercedes,C-Class,2012,83797,5,1000.0
Hyundai,Altima,2003,57307,5,15437.65
Toyota,Corolla,2000,139165,5,14147.75
Toyota,Altima,2016,27042,4,26298.9
Nissan,X5,2007,57930,1,1000.0
Ford,Civic,2001,180485,5,1000.0
Honda,X5,2007,102883,2,30100.85
Honda,Corolla,2006,38756,5,19332.2
Hyundai,Civic,2001,58268,4,17658.6
Nissan,Sorento,2021,175286,2,30683.7
Honda,A4,2021,164674,4,1000.0
BMW,Civic,2002,189403,2,6262.85
Honda,A4,2017,53901,3,17033.95
Audi,Altima,2011,104986,1,16881.7
Kia,Impala,2000,199488,1,9395.6
Nissan,Elantra,2021,168268,4,31597.6
BMW,Impala,2011,133386,1,23712.7
Mercedes,C-Class,2004,10626,4,34443.7
BMW,Elantra,2016,143496,4,13932.2
Ford,Elantra,2015,17857,4,23075.15
Mercedes,F-150,2014,156054,1,18095.3
Chevrolet,Elantra,2022,138052,4,7505.4
Kia,Corolla,2014,184362,1,9704.9
Kia,Impala,2004,31431,4,35543.45
Kia,Altima,2020,89976,5,8172.2
Kia,A4,2013,87711,4,6335.45
Hyundai,C-Class,2001,31385,2,3046.75
Kia,Elantra,2010,174230,4,30300.5
Kia,C-Class,2018,159091,3,29003.45
Kia,Altima,2006,23639,4,1000.0
Nissan,C-Class,2005,90530,2,28842.5
Hyundai,Altima,2001,26563,2,1000.0
Toyota,Elantra,2005,175413,1,12022.35
BMW,Altima,2017,120672,5,27192.4
BMW,Elantra,2001,141848,4,8759.6
Mercedes,F-150,2017,172516,1,17456.2
Nissan,F-150,2014,144783,5,16054.85
Audi,Altima,2018,87970,4,37521.5
BMW,F-150,2001,90553,3,1000.0
Honda,A4,2019,166779,4,1000.0
Audi,A4,2005,175182,2,1000.0
Kia,F-150,2000,197860,2,11447.0
Kia,F-150,2014,87879,3,24536.05
Hyundai,Sorento,2022,174899,1,10846.05
Audi,Sorento,2009,141727,5,23896.65
Honda,Elantra,2018,49859,4,21996.05
Hyundai,Altima,2016,189697,2,1000.0
Mercedes,X5,2004,57098,1,27197.1
Audi,X5,2003,151323,3,2423.85
Nissan,F-150,2009,127413,2,10363.35
Kia,C-Class,2016,5526,3,12047.7
Kia,F-150,2009,73760,4,28393.0
Ford,Sorento,2016,52837,5,9891.15
Hyundai,Elantra,2019,16536,2,38909.2
Toyota,F-150,2004,33541,2,4063.95
Toyota,Impala,2001,84083,4,1000.0
Hyundai,C-Class,2005,187099,1,13708.05
Nissan,Impala,2020,39531,5,35987.45
Chevrolet,Elantra,2001,13712,2,1000.0
Hyundai,Elantra,2012,109101,5,21089.95
Nissan,A4,2010,70455,2,33746.25
Mercedes,Civic,2010,79744,5,13679.8
Kia,Impala,2015,134749,3,26674.55
Honda,A4,2010,10109,2,13619.55
Chevrolet,Sorento,2018,54268,5,38974.6
Audi,Corolla,2014,59615,1,16595.25
Chevrolet,C-Class,2022,87503,3,40729.85
Honda,Corolla,2022,165831,3,11237.45
Ford,Altima,2015,90708,1,11437.6
Kia,Sorento,2010,196184,5,27811.8
Toyota,Sorento,2021,107471,4,28059.45
Nissan,Corolla,2015,162661,1,28175.95
Hyundai,Impala,2007,166087,5,1000.0
Hyundai,Civic,2003,165081,1,22999.95
Toyota,Impala,2007,88309,1,1000.0
Chevrolet,Corolla,2003,131446,2,13149.7
Kia,Altima,2002,198118,5,22447.1
BMW,Impala,2002,111661,4,25321.95
Nissan,X5,2017,162215,2,1000.0
Mercedes,Impala,2018,11154,1,37469.3
Honda,Elantra,2018,157876,1,1000.0
Chevrolet,A4,2020,177760,1,1000.0
Audi,C-Class,2004,69288,5,19917.6
Ford,Impala,2017,56195,5,8001.25
Hyundai,Civic,2009,25581,2,18528.95
Chevrolet,Civic,2021,188720,4,16836.0
Ford,Impala,2020,35087,2,24144.65
Honda,F-150,2005,186002,3,1000.0
Hyundai,Sorento,2000,169053,1,4003.35
Hyundai,Impala,2004,74298,1,26291.1
BMW,Sorento,2008,51167,1,1000.0
Chevrolet,X5,2011,179480,2,28549.0
Kia,Corolla,2013,44499,2,34340.05
Toyota,X5,2001,130816,1,7787.2
Toyota,Impala,2016,188341,2,1000.0
Mercedes,Civic,2013,174631,5,17119.45
Audi,F-150,2012,101347,5,25711.65
Ford,Altima,2008,53787,2,19337.65
Chevrolet,Sorento,2014,40488,1,1000.0
Nissan,A4,2021,79441,2,9476.95
Audi,Sorento,2014,27431,2,3813.45
BMW,Elantra,2010,66681,2,12709.95
Hyundai,C-Class,2015,199555,3,1000.0
Kia,Impala,2016,127720,5,16756.0
Chevrolet,X5,2003,54153,4,31608.35
Audi,A4,2000,11368,4,30885.6
Audi,Civic,2007,163496,3,23695.2
Kia,Civic,2016,117360,2,20662.0
Mercedes,Civic,2002,181076,3,12319.2
Ford,Altima,2019,117755,3,1000.0
Ford,Elantra,2014,61985,1,23050.75
Audi,Civic,2014,55069,5,23118.55
Honda,Civic,2021,57326,4,2775.7
Audi,Impala,2013,113737,2,16314.15
Audi,Elantra,2022,159470,4,28590.5
Kia,F-150,2013,55861,4,24496.95
Hyundai,F-150,2001,80897,5,4077.15
Kia,Elantra,2012,132118,4,15714.1
Chevrolet,C-Class,2013,73577,4,1000.0
Audi,Altima,2018,14078,3,3162.1
Ford,A4,2006,161075,5,1000.0
Nissan,Sorento,2002,67768,1,2707.6
Ford,Impala,2014,56047,2,10490.65
Toyota,Corolla,2022,76626,4,6867.7
Mercedes,F-150,2013,62660,2,1584.0
BMW,Elantra,2010,185858,1,17398.1
Chevrolet,A4,2014,137997,2,1000.0
Chevrolet,Elantra,2012,122832,1,8718.4
Mercedes,Sorento,2017,135406,3,12771.7
Nissan,A4,2005,130150,4,18804.5
BMW,F-150,2002,162087,1,14830.65
Hyundai,Civic,2018,38320,2,22831.0
Audi,Elantra,2014,69881,4,17362.95
BMW,Corolla,2022,95827,3,36753.65
Nissan,F-150,2004,107215,4,15830.25
Honda,X5,2009,162361,1,1000.0
Toyota,Corolla,2006,139461,3,4378.95
BMW,C-Class,2016,161755,2,10013.25
BMW,Altima,2006,149701,3,3034.95
Toyota,F-150,2021,66550,3,4827.5
Audi,Civic,2011,29826,5,1091.7
BMW,F-150,2016,105734,3,7728.3
Toyota,Sorento,2012,162702,3,24141.9
Toyota,A4,2019,182235,4,11598.25
Toyota,Elantra,2003,103511,2,27002.45
Kia,A4,2009,16653,4,19699.35
Nissan,A4,2002,164033,4,2899.35
Kia,F-150,2008,86941,1,1000.0
Honda,Sorento,2012,38662,4,14319.9
Hyundai,Elantra,2017,103818,5,16831.1
Kia,Elantra,2014,192518,5,34337.1
Kia,A4,2003,157360,1,1000.0
Nissan,C-Class,2014,100081,2,1000.0
Hyundai,Altima,2021,41877,2,23319.15
Mercedes,Sorento,2001,116562,4,13407.9
Toyota,C-Class,2014,151385,4,6444.75
Chevrolet,Impala,2007,77715,4,35010.25
Hyundai,Impala,2007,146398,2,20892.1
Honda,Corolla,2016,115091,3,32131.45
Audi,A4,2011,137632,5,12449.4
Honda,Elantra,2018,84148,3,12352.6
Toyota,F-150,2009,88186,3,1000.0
Hyundai,Elantra,2008,162817,2,1000.0
Honda,Elantra,2004,167962,3,1000.0
Honda,Civic,2005,156094,1,4011.3
Mercedes,Elantra,2019,128629,4,35263.55
Mercedes,Corolla,2001,188651,1,1000.0
Hyundai,C-Class,2012,75316,5,20976.2
Toyota,Impala,2005,33380,4,1000.0
Kia,Elantra,2004,115198,3,5867.1
Ford,Elantra,2000,7356,5,34692.2
BMW,Civic,2020,75326,4,24961.7
Chevrolet,Sorento,2021,97447,3,15335.65
BMW,F-150,2020,119994,1,17982.3
Nissan,Sorento,2005,25049,4,1918.55
Mercedes,F-150,2005,110361,3,21700.95
Hyundai,Altima,2022,21082,1,28841.9
BMW,Elantra,2015,5661,5,43305.95
Toyota,Civic,2003,173484,5,26871.8
Chevrolet,X5,2010,7920,5,1800.0
BMW,A4,2022,196387,5,14738.65
Chevrolet,Impala,2008,84561,2,7584.95
Audi,C-Class,2022,13946,4,20951.7
Toyota,Impala,2002,181572,4,24496.4
Ford,C-Class,2018,21309,2,1000.0
Honda,Altima,2007,60230,3,1000.0
Chevrolet,Sorento,2004,116822,3,2734.9
Toyota,Corolla,2003,166099,5,1000.0
Chevrolet,Elantra,2005,117340,1,1000.0
Chevrolet,X5,2001,64321,3,11512.95
Kia,C-Class,2019,137028,1,18247.6
Kia,A4,2010,79131,4,25141.45
Toyota,C-Class,2003,183980,1,7762.0
Kia,Corolla,2014,30963,4,9553.85
Nissan,Impala,2005,106757,2,1000.0
Ford,Civic,2021,175515,2,9808.25
Hyundai,Impala,2016,104259,5,30968.05
Toyota,Altima,2005,44063,3,15588.85
Toyota,Civic,2018,119225,5,18442.75
Nissan,Impala,2001,121400,4,29291.0
Mercedes,A4,2014,85818,5,30749.1
Mercedes,Impala,2010,9703,1,16550.85
Kia,A4,2007,77099,4,10309.05
Hyundai,A4,2018,161921,2,1399.95
Kia,Civic,2012,167932,3,1000.0
Audi,Sorento,2011,36585,4,17796.75
Audi,F-150,2004,158087,4,1000.0
Honda,Elantra,2005,48585,1,28980.75
Audi,C-Class,2021,31958,3,1000.0
Mercedes,F-150,2003,31017,2,20916.15
Ford,Corolla,2018,129677,4,8550.15
Audi,Sorento,2019,181422,4,15782.9
Kia,F-150,2000,148273,1,21084.35
Chevrolet,Civic,2019,34426,5,40343.7
Toyota,Corolla,2016,22778,2,2173.1
Ford,X5,2011,181313,3,1000.0
Ford,Sorento,2014,47229,4,1000.0
Kia,F-150,2000,91652,4,30715.4
Toyota,Corolla,2013,133267,2,1000.0
Mercedes,X5,2005,184436,5,1000.0
Ford,Impala,2004,131503,4,22872.85
Honda,Corolla,2010,89878,2,8706.1
Kia,Civic,2003,62056,1,23361.2
Ford,Impala,2012,163562,5,33672.9
Hyundai,Civic,2010,24975,3,21045.25
Toyota,F-150,2002,162795,4,13143.25
Audi,Elantra,2000,159351,2,1000.0
Ford,F-150,2005,147633,1,1000.0
Kia,Impala,2017,93397,3,37855.15
Audi,A4,2009,185225,2,10890.75
Honda,F-150,2004,38142,2,8546.9
Audi,Impala,2022,31916,3,30459.2
Hyundai,Corolla,2009,69324,1,3187.8
Mercedes,Altima,2011,181037,1,17184.15
Ford,F-150,2001,130932,5,2495.4
BMW,Corolla,2012,140720,4,16430.0
BMW,Civic,2007,171205,3,28753.75
Audi,Sorento,2001,186749,3,1000.0
Nissan,Elantra,2019,101059,3,24855.05
Toyota,Civic,2000,103317,1,1000.0
BMW,Civic,2004,40046,4,11488.7
Nissan,Impala,2008,183136,5,1000.0
BMW,A4,2016,106459,2,2442.05
Nissan,C-Class,2008,50893,2,8414.35
Toyota,Altima,2010,106520,3,5847.0
Chevrolet,A4,2014,130818,4,19015.1
BMW,Impala,2005,66272,1,1000.0
Hyundai,Elantra,2022,72649,4,34887.55
Ford,Altima,2002,69674,4,1000.0
Nissan,Altima,2016,149832,1,9163.4
Ford,Impala,2004,157999,3,27484.05
Kia,X5,2011,91475,4,9390.25
Kia,Civic,2017,66367,2,30407.65
Toyota,Sorento,2013,148660,1,21611.0
Nissan,X5,2020,126750,5,34706.5
Honda,Impala,2010,123154,3,20594.3
Kia,X5,2008,188305,1,1000.0
Toyota,Sorento,2001,49738,5,16788.1
